OrderItemID,OrderID,MenuID,Quantity,Price,Subtotal,CreatedDate,ModifiedDate
1,1,648,3,637,1911,35:21.2,35:21.2
2,2,648,2,637,1274,35:21.2,35:21.2
3,3,648,2,637,1274,35:21.2,35:21.2
4,3,649,1,183,183,35:21.2,35:21.2
5,4,648,1,637,637,35:21.2,35:21.2
6,5,2253,2,230,460,35:21.2,35:21.2
7,5,2250,2,163,326,35:21.2,35:21.2
8,5,2251,1,199,199,35:21.2,35:21.2
9,5,2254,2,165,330,35:21.2,35:21.2
10,6,2253,3,230,690,35:21.2,35:21.2
11,6,2252,3,103,309,35:21.2,35:21.2
12,6,2250,2,163,326,35:21.2,35:21.2
13,6,2251,2,199,398,35:21.2,35:21.2
14,6,2254,3,165,495,35:21.2,35:21.2
15,7,2251,3,199,597,35:21.2,35:21.2
16,8,2252,2,103,206,35:21.2,35:21.2
17,8,2250,2,163,326,35:21.2,35:21.2
18,8,2254,3,165,495,35:21.2,35:21.2
19,8,2253,1,230,230,35:21.2,35:21.2
20,8,2251,1,199,199,35:21.2,35:21.2
21,9,2339,1,159,159,35:21.2,35:21.2
22,9,2338,2,237,474,35:21.2,35:21.2
23,9,2341,1,137,137,35:21.2,35:21.2
24,10,2341,1,137,137,35:21.2,35:21.2
25,10,2340,1,207,207,35:21.2,35:21.2
26,11,2339,3,159,477,35:21.2,35:21.2
27,12,2341,3,137,411,35:21.2,35:21.2
28,12,2339,2,159,318,35:21.2,35:21.2
29,13,3874,1,183,183,35:21.2,35:21.2
30,13,3875,1,150,150,35:21.2,35:21.2
31,13,3876,2,75,150,35:21.2,35:21.2
32,14,3876,1,75,75,35:21.2,35:21.2
33,14,3874,3,183,549,35:21.2,35:21.2
34,14,3875,3,150,450,35:21.2,35:21.2
35,15,3876,1,75,75,35:21.2,35:21.2
36,15,3875,2,150,300,35:21.2,35:21.2
37,15,3874,1,183,183,35:21.2,35:21.2
38,16,592,1,242,242,35:21.2,35:21.2
39,16,591,2,80,160,35:21.2,35:21.2
40,17,481,1,99,99,35:21.2,35:21.2
41,17,480,3,142,426,35:21.2,35:21.2
42,18,3429,2,147,294,35:21.2,35:21.2
43,19,3429,2,147,294,35:21.2,35:21.2
44,20,3759,3,152,456,35:21.2,35:21.2
45,21,3759,3,152,456,35:21.2,35:21.2
46,21,3758,2,151,302,35:21.2,35:21.2
47,22,1953,2,125,250,35:21.2,35:21.2
48,23,2046,3,227,681,35:21.2,35:21.2
49,23,2043,1,141,141,35:21.2,35:21.2
50,24,2045,3,143,429,35:21.2,35:21.2
51,25,3404,2,135,270,35:21.2,35:21.2
52,26,3405,3,156,468,35:21.2,35:21.2
53,26,3403,3,250,750,35:21.2,35:21.2
54,27,3404,1,135,135,35:21.2,35:21.2
55,27,3403,1,250,250,35:21.2,35:21.2
56,27,3405,2,156,312,35:21.2,35:21.2
57,28,3404,2,135,270,35:21.2,35:21.2
58,29,1302,1,594,594,35:21.2,35:21.2
59,30,1300,1,695,695,35:21.2,35:21.2
60,31,1301,1,614,614,35:21.2,35:21.2
61,31,1300,2,695,1390,35:21.2,35:21.2
62,31,1302,1,594,594,35:21.2,35:21.2
63,31,1303,1,601,601,35:21.2,35:21.2
64,32,1302,3,594,1782,35:21.2,35:21.2
65,32,1303,1,601,601,35:21.2,35:21.2
66,33,1302,3,594,1782,35:21.2,35:21.2
67,33,1300,3,695,2085,35:21.2,35:21.2
68,33,1303,3,601,1803,35:21.2,35:21.2
69,33,1301,2,614,1228,35:21.2,35:21.2
70,34,3188,2,128,256,35:21.2,35:21.2
71,35,3188,1,128,128,35:21.2,35:21.2
72,36,3188,3,128,384,35:21.2,35:21.2
73,37,3188,3,128,384,35:21.2,35:21.2
74,38,3188,2,128,256,35:21.2,35:21.2
75,39,263,3,137,411,35:21.2,35:21.2
76,39,262,1,314,314,35:21.2,35:21.2
77,39,264,3,195,585,35:21.2,35:21.2
78,40,2671,3,125,375,35:21.2,35:21.2
79,40,2672,2,190,380,35:21.2,35:21.2
80,40,2670,3,136,408,35:21.2,35:21.2
81,41,1518,2,153,306,35:21.2,35:21.2
82,41,1519,1,167,167,35:21.2,35:21.2
83,42,1519,3,167,501,35:21.2,35:21.2
84,42,1520,3,240,720,35:21.2,35:21.2
85,43,1518,3,153,459,35:21.2,35:21.2
86,44,1114,3,149,447,35:21.2,35:21.2
87,45,1114,3,149,447,35:21.2,35:21.2
88,46,1868,2,62,124,35:21.2,35:21.2
89,47,1868,2,62,124,35:21.2,35:21.2
90,48,1868,3,62,186,35:21.2,35:21.2
91,49,2733,3,127,381,35:21.2,35:21.2
92,50,1967,3,612,1836,35:21.2,35:21.2
93,50,1969,3,612,1836,35:21.2,35:21.2
94,51,1970,3,226,678,35:21.2,35:21.2
95,51,1966,1,512,512,35:21.2,35:21.2
96,51,1967,1,612,612,35:21.2,35:21.2
97,51,1969,1,612,612,35:21.2,35:21.2
98,51,1968,1,484,484,35:21.2,35:21.2
99,52,2737,1,247,247,35:21.2,35:21.2
100,53,2736,3,181,543,35:21.2,35:21.2
101,54,2737,1,247,247,35:21.2,35:21.2
102,54,2736,1,181,181,35:21.2,35:21.2
103,54,2738,1,132,132,35:21.2,35:21.2
104,55,2736,1,181,181,35:21.2,35:21.2
105,55,2737,3,247,741,35:21.2,35:21.2
106,55,2738,2,132,264,35:21.2,35:21.2
107,56,3390,1,237,237,35:21.2,35:21.2
108,56,3389,3,161,483,35:21.2,35:21.2
109,56,3392,3,176,528,35:21.2,35:21.2
110,56,3393,3,197,591,35:21.2,35:21.2
111,56,3391,3,201,603,35:21.2,35:21.2
112,57,3389,3,161,483,35:21.2,35:21.2
113,57,3391,1,201,201,35:21.2,35:21.2
114,57,3390,2,237,474,35:21.2,35:21.2
115,57,3392,3,176,528,35:21.2,35:21.2
116,57,3393,3,197,591,35:21.2,35:21.2
117,58,3420,2,219,438,35:21.2,35:21.2
118,59,3420,2,219,438,35:21.2,35:21.2
119,59,3419,1,111,111,35:21.2,35:21.2
120,60,3125,2,223,446,35:21.2,35:21.2
121,61,3126,1,283,283,35:21.2,35:21.2
122,61,3125,2,223,446,35:21.2,35:21.2
123,62,3950,2,141,282,35:21.2,35:21.2
124,63,3950,2,141,282,35:21.2,35:21.2
125,64,3950,3,141,423,35:21.2,35:21.2
126,65,3950,3,141,423,35:21.2,35:21.2
127,66,3795,2,269,538,35:21.2,35:21.2
128,67,3795,2,269,538,35:21.2,35:21.2
129,68,3795,2,269,538,35:21.2,35:21.2
